artist,song,popularity,uri,url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,0,clusters
Nosaj Thing,2K,0,spotify:track:33xMbeHzmWd6Od0BmLZEUs,https://open.spotify.com/track/33xMbeHzmWd6Od0BmLZEUs,0.31,0.445,7.0,-13.355,0.0,0.0863,0.094,0.0678,0.113,0.122,95.36,audio_features,33xMbeHzmWd6Od0BmLZEUs,https://api.spotify.com/v1/tracks/33xMbeHzmWd6Od0BmLZEUs,https://api.spotify.com/v1/audio-analysis/33xMbeHzmWd6Od0BmLZEUs,152560.0,3.0,,7
The Doors,4 Billion Souls,24,spotify:track:3UnyplmZaq547hwsfOR5yy,https://open.spotify.com/track/3UnyplmZaq547hwsfOR5yy,0.419,0.565,5.0,-11.565,1.0,0.0347,0.137,0.337,0.128,0.648,151.277,audio_features,3UnyplmZaq547hwsfOR5yy,https://api.spotify.com/v1/tracks/3UnyplmZaq547hwsfOR5yy,https://api.spotify.com/v1/audio-analysis/3UnyplmZaq547hwsfOR5yy,197707.0,4.0,,3
Radiohead,4 Minute Warning,0,spotify:track:1w8QCSDH4QobcQeT4uMKLm,https://open.spotify.com/track/1w8QCSDH4QobcQeT4uMKLm,0.354,0.302,9.0,-13.078,1.0,0.0326,0.59,0.0709,0.111,0.223,123.753,audio_features,1w8QCSDH4QobcQeT4uMKLm,https://api.spotify.com/v1/tracks/1w8QCSDH4QobcQeT4uMKLm,https://api.spotify.com/v1/audio-analysis/1w8QCSDH4QobcQeT4uMKLm,244285.0,4.0,,0
Vitas,7 Element,0,spotify:track:7J9mBHG4J2eIfDAv5BehKA,https://open.spotify.com/track/7J9mBHG4J2eIfDAv5BehKA,0.727,0.785,5.0,-6.707,0.0,0.0603,0.325,0.126,0.31,0.96,129.649,audio_features,7J9mBHG4J2eIfDAv5BehKA,https://api.spotify.com/v1/tracks/7J9mBHG4J2eIfDAv5BehKA,https://api.spotify.com/v1/audio-analysis/7J9mBHG4J2eIfDAv5BehKA,249940.0,4.0,,1
R.E.M.,#9 Dream,6,spotify:track:1VZedwJj1gyi88WFRhfThb,https://open.spotify.com/track/1VZedwJj1gyi88WFRhfThb,0.571,0.724,0.0,-5.967,1.0,0.026,0.0231,0.00311,0.0919,0.385,116.755,audio_features,1VZedwJj1gyi88WFRhfThb,https://api.spotify.com/v1/tracks/1VZedwJj1gyi88WFRhfThb,https://api.spotify.com/v1/audio-analysis/1VZedwJj1gyi88WFRhfThb,278320.0,4.0,,11
a-ha,#9 Dream,10,spotify:track:3DSmOF7ETJHAQEqqgoSJao,https://open.spotify.com/track/3DSmOF7ETJHAQEqqgoSJao,0.579,0.777,4.0,-7.505,1.0,0.0304,0.0177,0.000248,0.422,0.481,109.994,audio_features,3DSmOF7ETJHAQEqqgoSJao,https://api.spotify.com/v1/tracks/3DSmOF7ETJHAQEqqgoSJao,https://api.spotify.com/v1/audio-analysis/3DSmOF7ETJHAQEqqgoSJao,247067.0,4.0,,6
The Black Keys,10 Lovers,51,spotify:track:5HPnumlogzZtpLEaORZjz1,https://open.spotify.com/track/5HPnumlogzZtpLEaORZjz1,0.606,0.638,3.0,-6.994,0.0,0.0339,0.0434,0.000247,0.0887,0.817,97.992,audio_features,5HPnumlogzZtpLEaORZjz1,https://api.spotify.com/v1/tracks/5HPnumlogzZtpLEaORZjz1,https://api.spotify.com/v1/audio-analysis/5HPnumlogzZtpLEaORZjz1,213227.0,4.0,,1
Julian Casablancas,11th Dimension,56,spotify:track:6i99ThziImjuFABb8rUQvy,https://open.spotify.com/track/6i99ThziImjuFABb8rUQvy,0.574,0.925,6.0,-2.766,0.0,0.0463,0.00164,0.0243,0.115,0.369,125.501,audio_features,6i99ThziImjuFABb8rUQvy,https://api.spotify.com/v1/tracks/6i99ThziImjuFABb8rUQvy,https://api.spotify.com/v1/audio-analysis/6i99ThziImjuFABb8rUQvy,243333.0,4.0,,11
The Strokes,12:51,0,spotify:track:0nkLI0pdyTRpq7BsTFBufZ,https://open.spotify.com/track/0nkLI0pdyTRpq7BsTFBufZ,0.452,0.889,4.0,-3.838,1.0,0.0379,0.312,0.8,0.558,0.591,145.056,audio_features,0nkLI0pdyTRpq7BsTFBufZ,https://api.spotify.com/v1/tracks/0nkLI0pdyTRpq7BsTFBufZ,https://api.spotify.com/v1/audio-analysis/0nkLI0pdyTRpq7BsTFBufZ,153133.0,4.0,,17
The Strokes,12:51,66,spotify:track:6Yu1OL8I0D4vjOzYdsXYGK,https://open.spotify.com/track/6Yu1OL8I0D4vjOzYdsXYGK,0.451,0.889,4.0,-3.838,1.0,0.0379,0.312,0.8,0.558,0.592,145.056,audio_features,6Yu1OL8I0D4vjOzYdsXYGK,https://api.spotify.com/v1/tracks/6Yu1OL8I0D4vjOzYdsXYGK,https://api.spotify.com/v1/audio-analysis/6Yu1OL8I0D4vjOzYdsXYGK,153133.0,4.0,,17
The Beatles,12 Bar Original - Anthology 2 Version,29,spotify:track:2HvTGx5fzFGpHSyRNvXd9T,https://open.spotify.com/track/2HvTGx5fzFGpHSyRNvXd9T,0.6,0.535,9.0,-8.178,1.0,0.0298,0.00154,0.102,0.123,0.566,122.678,audio_features,2HvTGx5fzFGpHSyRNvXd9T,https://api.spotify.com/v1/tracks/2HvTGx5fzFGpHSyRNvXd9T,https://api.spotify.com/v1/audio-analysis/2HvTGx5fzFGpHSyRNvXd9T,175080.0,4.0,,1
The Strokes,15 Minutes,0,spotify:track:2XS4lIQ1bl9KSNsYtkqK46,https://open.spotify.com/track/2XS4lIQ1bl9KSNsYtkqK46,0.337,0.885,2.0,-3.566,1.0,0.0419,0.004,0.0378,0.141,0.389,83.001,audio_features,2XS4lIQ1bl9KSNsYtkqK46,https://api.spotify.com/v1/tracks/2XS4lIQ1bl9KSNsYtkqK46,https://api.spotify.com/v1/audio-analysis/2XS4lIQ1bl9KSNsYtkqK46,273133.0,3.0,,7
Radiohead,15 Step,0,spotify:track:6dsq7Nt5mIFzvm5kIYNORy,https://open.spotify.com/track/6dsq7Nt5mIFzvm5kIYNORy,0.6,0.853,1.0,-7.584,1.0,0.0423,0.0489,0.346,0.0934,0.847,94.457,audio_features,6dsq7Nt5mIFzvm5kIYNORy,https://api.spotify.com/v1/tracks/6dsq7Nt5mIFzvm5kIYNORy,https://api.spotify.com/v1/audio-analysis/6dsq7Nt5mIFzvm5kIYNORy,237293.0,4.0,,1
Perfume Genius,17,0,spotify:track:1wKGGfnznnXIvupuEZt9mM,https://open.spotify.com/track/1wKGGfnznnXIvupuEZt9mM,0.396,0.141,6.0,-16.115,1.0,0.0294,0.919,0.434,0.339,0.0443,68.03,audio_features,1wKGGfnznnXIvupuEZt9mM,https://api.spotify.com/v1/tracks/1wKGGfnznnXIvupuEZt9mM,https://api.spotify.com/v1/audio-analysis/1wKGGfnznnXIvupuEZt9mM,150013.0,4.0,,15
Half Moon Run,21 Gun Salute,0,spotify:track:7Jjqx75QRHaYsxF5WnHovC,https://open.spotify.com/track/7Jjqx75QRHaYsxF5WnHovC,0.594,0.61,11.0,-10.57,0.0,0.0388,0.829,0.208,0.077,0.289,129.963,audio_features,7Jjqx75QRHaYsxF5WnHovC,https://api.spotify.com/v1/tracks/7Jjqx75QRHaYsxF5WnHovC,https://api.spotify.com/v1/audio-analysis/7Jjqx75QRHaYsxF5WnHovC,292409.0,4.0,,18
Ariane Moffatt,22h22,0,spotify:track:7BIPYQPHbPVDE9UsA0eT72,https://open.spotify.com/track/7BIPYQPHbPVDE9UsA0eT72,0.35,0.0959,10.0,-17.471,1.0,0.0439,0.964,0.0024,0.106,0.108,143.861,audio_features,7BIPYQPHbPVDE9UsA0eT72,https://api.spotify.com/v1/tracks/7BIPYQPHbPVDE9UsA0eT72,https://api.spotify.com/v1/audio-analysis/7BIPYQPHbPVDE9UsA0eT72,200907.0,4.0,,0
Karkwa,28 Jours,14,spotify:track:4KEw5m7CZXVbpWbHVK4OrV,https://open.spotify.com/track/4KEw5m7CZXVbpWbHVK4OrV,0.15,0.237,3.0,-10.799,0.0,0.0323,0.778,0.0977,0.0897,0.0733,67.276,audio_features,4KEw5m7CZXVbpWbHVK4OrV,https://api.spotify.com/v1/tracks/4KEw5m7CZXVbpWbHVK4OrV,https://api.spotify.com/v1/audio-analysis/4KEw5m7CZXVbpWbHVK4OrV,292120.0,4.0,,0
Vinnie Who,39,26,spotify:track:2YTRLoG5jdzCp4yg3B6OnH,https://open.spotify.com/track/2YTRLoG5jdzCp4yg3B6OnH,0.733,0.719,5.0,-8.776,0.0,0.0462,0.0609,0.108,0.0807,0.327,114.959,audio_features,2YTRLoG5jdzCp4yg3B6OnH,https://api.spotify.com/v1/tracks/2YTRLoG5jdzCp4yg3B6OnH,https://api.spotify.com/v1/audio-analysis/2YTRLoG5jdzCp4yg3B6OnH,309787.0,4.0,,11
The Strokes,50/50,50,spotify:track:5MPryR3oJGmWnSYM7X2GGE,https://open.spotify.com/track/5MPryR3oJGmWnSYM7X2GGE,0.491,0.93,11.0,-6.412,0.0,0.0347,4.23e-05,0.612,0.219,0.623,99.924,audio_features,5MPryR3oJGmWnSYM7X2GGE,https://api.spotify.com/v1/tracks/5MPryR3oJGmWnSYM7X2GGE,https://api.spotify.com/v1/audio-analysis/5MPryR3oJGmWnSYM7X2GGE,163227.0,4.0,,17
Radio Radio,50 Shades of Beige,0,spotify:track:4ymUtICOpIlyvFf3URM7XZ,https://open.spotify.com/track/4ymUtICOpIlyvFf3URM7XZ,0.703,0.7,2.0,-6.152,1.0,0.135,0.049,0.0,0.365,0.512,119.966,audio_features,4ymUtICOpIlyvFf3URM7XZ,https://api.spotify.com/v1/tracks/4ymUtICOpIlyvFf3URM7XZ,https://api.spotify.com/v1/audio-analysis/4ymUtICOpIlyvFf3URM7XZ,208248.0,4.0,,6
The Strokes,80's Comedown Machine,56,spotify:track:2lffRiAET2Xt6BNb4EmkS2,https://open.spotify.com/track/2lffRiAET2Xt6BNb4EmkS2,0.488,0.503,0.0,-8.89,1.0,0.0326,0.00583,0.809,0.101,0.38,144.035,audio_features,2lffRiAET2Xt6BNb4EmkS2,https://api.spotify.com/v1/tracks/2lffRiAET2Xt6BNb4EmkS2,https://api.spotify.com/v1/audio-analysis/2lffRiAET2Xt6BNb4EmkS2,298613.0,4.0,,17
Mac DeMarco,96.7 The Pipe,0,spotify:track:3oQ52Mqz2ih8KjligVoQrG,https://open.spotify.com/track/3oQ52Mqz2ih8KjligVoQrG,0.583,0.917,6.0,-8.96,0.0,0.567,0.493,0.0608,0.296,0.44,171.157,audio_features,3oQ52Mqz2ih8KjligVoQrG,https://api.spotify.com/v1/tracks/3oQ52Mqz2ih8KjligVoQrG,https://api.spotify.com/v1/audio-analysis/3oQ52Mqz2ih8KjligVoQrG,34014.0,4.0,,16
Mac DeMarco,106.2 Breeze FM,0,spotify:track:5h8G81Ls00kyf1UEen0gBB,https://open.spotify.com/track/5h8G81Ls00kyf1UEen0gBB,0.487,0.753,6.0,-10.533,0.0,0.306,0.665,0.00144,0.231,0.847,112.907,audio_features,5h8G81Ls00kyf1UEen0gBB,https://api.spotify.com/v1/tracks/5h8G81Ls00kyf1UEen0gBB,https://api.spotify.com/v1/audio-analysis/5h8G81Ls00kyf1UEen0gBB,60642.0,4.0,,5
Jake Shimabukuro,143 (Kelly's song) 2011,0,spotify:track:6Tq4LginUMBOgZrUs8M40h,https://open.spotify.com/track/6Tq4LginUMBOgZrUs8M40h,0.37,0.361,9.0,-12.271,1.0,0.0321,0.81,0.87,0.113,0.479,66.409,audio_features,6Tq4LginUMBOgZrUs8M40h,https://api.spotify.com/v1/tracks/6Tq4LginUMBOgZrUs8M40h,https://api.spotify.com/v1/audio-analysis/6Tq4LginUMBOgZrUs8M40h,266066.0,4.0,,4
