artist,song,popularity,uri,url
Nosaj Thing,2K,0,spotify:track:33xMbeHzmWd6Od0BmLZEUs,https://open.spotify.com/track/33xMbeHzmWd6Od0BmLZEUs
The Doors,4 Billion Souls,24,spotify:track:3UnyplmZaq547hwsfOR5yy,https://open.spotify.com/track/3UnyplmZaq547hwsfOR5yy
Radiohead,4 Minute Warning,0,spotify:track:1w8QCSDH4QobcQeT4uMKLm,https://open.spotify.com/track/1w8QCSDH4QobcQeT4uMKLm
Vitas,7 Element,0,spotify:track:7J9mBHG4J2eIfDAv5BehKA,https://open.spotify.com/track/7J9mBHG4J2eIfDAv5BehKA
R.E.M.,#9 Dream,6,spotify:track:1VZedwJj1gyi88WFRhfThb,https://open.spotify.com/track/1VZedwJj1gyi88WFRhfThb
a-ha,#9 Dream,10,spotify:track:3DSmOF7ETJHAQEqqgoSJao,https://open.spotify.com/track/3DSmOF7ETJHAQEqqgoSJao
The Black Keys,10 Lovers,51,spotify:track:5HPnumlogzZtpLEaORZjz1,https://open.spotify.com/track/5HPnumlogzZtpLEaORZjz1
Julian Casablancas,11th Dimension,56,spotify:track:6i99ThziImjuFABb8rUQvy,https://open.spotify.com/track/6i99ThziImjuFABb8rUQvy
The Strokes,12:51,0,spotify:track:0nkLI0pdyTRpq7BsTFBufZ,https://open.spotify.com/track/0nkLI0pdyTRpq7BsTFBufZ
The Strokes,12:51,66,spotify:track:6Yu1OL8I0D4vjOzYdsXYGK,https://open.spotify.com/track/6Yu1OL8I0D4vjOzYdsXYGK
The Beatles,12 Bar Original - Anthology 2 Version,29,spotify:track:2HvTGx5fzFGpHSyRNvXd9T,https://open.spotify.com/track/2HvTGx5fzFGpHSyRNvXd9T
The Strokes,15 Minutes,0,spotify:track:2XS4lIQ1bl9KSNsYtkqK46,https://open.spotify.com/track/2XS4lIQ1bl9KSNsYtkqK46
Radiohead,15 Step,0,spotify:track:6dsq7Nt5mIFzvm5kIYNORy,https://open.spotify.com/track/6dsq7Nt5mIFzvm5kIYNORy
Perfume Genius,17,0,spotify:track:1wKGGfnznnXIvupuEZt9mM,https://open.spotify.com/track/1wKGGfnznnXIvupuEZt9mM
Half Moon Run,21 Gun Salute,0,spotify:track:7Jjqx75QRHaYsxF5WnHovC,https://open.spotify.com/track/7Jjqx75QRHaYsxF5WnHovC
Ariane Moffatt,22h22,0,spotify:track:7BIPYQPHbPVDE9UsA0eT72,https://open.spotify.com/track/7BIPYQPHbPVDE9UsA0eT72
Karkwa,28 Jours,14,spotify:track:4KEw5m7CZXVbpWbHVK4OrV,https://open.spotify.com/track/4KEw5m7CZXVbpWbHVK4OrV
Vinnie Who,39,26,spotify:track:2YTRLoG5jdzCp4yg3B6OnH,https://open.spotify.com/track/2YTRLoG5jdzCp4yg3B6OnH
The Strokes,50/50,50,spotify:track:5MPryR3oJGmWnSYM7X2GGE,https://open.spotify.com/track/5MPryR3oJGmWnSYM7X2GGE
Radio Radio,50 Shades of Beige,0,spotify:track:4ymUtICOpIlyvFf3URM7XZ,https://open.spotify.com/track/4ymUtICOpIlyvFf3URM7XZ
The Strokes,80's Comedown Machine,56,spotify:track:2lffRiAET2Xt6BNb4EmkS2,https://open.spotify.com/track/2lffRiAET2Xt6BNb4EmkS2
Mac DeMarco,96.7 The Pipe,0,spotify:track:3oQ52Mqz2ih8KjligVoQrG,https://open.spotify.com/track/3oQ52Mqz2ih8KjligVoQrG
,100 Amazing Bass Lines,0,spotify:local:::100+Amazing+Bass+Lines:785,
Mac DeMarco,106.2 Breeze FM,0,spotify:track:5h8G81Ls00kyf1UEen0gBB,https://open.spotify.com/track/5h8G81Ls00kyf1UEen0gBB
Jake Shimabukuro,143 (Kelly's song) 2011,0,spotify:track:6Tq4LginUMBOgZrUs8M40h,https://open.spotify.com/track/6Tq4LginUMBOgZrUs8M40h
Lorde,400 Lux,0,spotify:track:7ynvnjTj1XI8ByUq3F8MUw,https://open.spotify.com/track/7ynvnjTj1XI8ByUq3F8MUw
The Whitest Boy Alive,1517,0,spotify:track:4wHh4AljzbSGMJvynLgK1q,https://open.spotify.com/track/4wHh4AljzbSGMJvynLgK1q
Jean Leloup,1990 - Danse Mix,22,spotify:track:2UFEbNhbk9GsxCigXPq3XI,https://open.spotify.com/track/2UFEbNhbk9GsxCigXPq3XI
Cage The Elephant,2024,0,spotify:track:7IcXkPWjwqUCCkI2mUf02h,https://open.spotify.com/track/7IcXkPWjwqUCCkI2mUf02h
