song_title,artist
VIBE (feat. Jimin of BTS),TAEYANG
Flowers,Miley Cyrus
"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira
Anti-Hero,Taylor Swift
Unholy,Sam Smith & Kim Petras
wait in the truck,HARDY & Lainey Wilson
Heart Like A Truck,Lainey Wilson
Made You Look,Meghan Trainor
Son Of A Sinner,Jelly Roll
Thought You Should Know,Morgan Wallen
Temperature,Sean Paul
Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),Rihanna
People Get Ready,Jeff Beck & Rod Stewart
Runs in the Water,Royale Lynn
Thank God,Kane Brown & Katelyn Brown
I'm Good (Blue),David Guetta & Bebe Rexha
Separate Ways (Worlds Apart) [feat. Lzzy Hale],Daughtry
I Ain't Worried,OneRepublic
Something in the Orange (Z&E's Version),Zach Bryan
Unstoppable,Sia
Rock and a Hard Place,Bailey Zimmerman
Bloody Mary,Lady Gaga
Hurts to Love You,Nick Carter
Lights Out,Lisa Marie Presley
Looking for You,Chris Young
You Proof,Morgan Wallen
One Thing At A Time,Morgan Wallen
Calm Down,Rema & Selena Gomez
Players,Coi Leray
As It Was,Harry Styles
Creepin',"Metro Boomin, The Weeknd & 21 Savage"
Kill Bill,SZA
Wasted On You,Morgan Wallen
"Going, Going, Gone",Luke Combs
I Ain't a Bitch,Alaura Lynne
Cooler Than Me (Single Mix),Mike Posner
The Kind of Love We Make,Luke Combs
golden hour,JVKE
This Is Our God,Phil Wickham
Mine,Bazzi
Freeway Jam,Jeff Beck
Hold Me Closer,Elton John & Britney Spears
Bebe Dame,Fuerza Regida & Grupo Frontera
Ghost,Tom MacDonald
What My World Spins Around,Jordan Davis
CUFF IT,Beyoncé
Hold My Hand,Lady Gaga
Under the Influence,Chris Brown
Fall In Love,Bailey Zimmerman
NEED A FAVOR,Jelly Roll
Cause We've Ended As Lovers,Jeff Beck
Wreckage,Nate Smith
On Wat U On,Moneybagg Yo & GloRilla
Gratitude,Brandon Lake
Million Dollar Baby,Ava Max
About Damn Time,Lizzo
Wasted (feat. Kodak Black & Koe Wetzel),Diplo
Trench,FETISH
Tennessee Whiskey,Chris Stapleton
New Punani,"French Montana, DJ Drama & Cheeze"
Free Smoke (feat. BIG30),"French Montana, DJ Drama & EST Gee"
Igloo,"French Montana, DJ Drama & Rob49"
RZA,"French Montana, DJ Drama & Benny the Butcher"
I'm Good (Blue),David Guetta & Bebe Rexha
Que Vuelvas,Carin Leon & Grupo Frontera
The Oath,"Chinx, DJ Drama & French Montana"
Shivers,Ed Sheeran
Forever,"French Montana, DJ Drama & Mr.Chicken"
Choose You,"French Montana, DJ Drama & Jeremih"
It's a Beautiful Day (Reprise),The Kiffness & Rushawn
Addicted to You,"French Montana, DJ Drama & Cheeze"
Not So Bad,French Montana & DJ Drama
Shoot Tequila,Tigirlily Gold
REASON,Dreamcatcher
Just Wanna Rock,Lil Uzi Vert
Can't Stop Won't Stop (Remix) [feat. Kodak Black],"King Combs, French Montana & DJ Drama"
Tishomingo,Zach Bryan
Chit Chat (feat. DJ Drama),"French Montana, Smooky MarGielaa & A$AP Rocky"
Project Baby (Remix),"Vory, DJ Drama & French Montana"
Daydream,Lily Meola
Intro (feat. Cheeze),"French Montana, Stove God Cooks & DJ Drama"
Where No One Stands Alone [with Lisa Marie Presley] [2018 Version],Elvis Presley
Build a Boat,Colton Dixon
Sober,P!nk
Heart Full of Soul (2015 Remaster),The Yardbirds
Handle On You,Parker McCollum
Tennessee Orange,Megan Moroney
Just Pretend,Bad Omens
Something in the Orange,Zach Bryan
Escapism.,RAYE & 070 Shake
Chasin' You,Morgan Wallen
How Do I Say Goodbye,Dean Lewis
The Summoning,Sleep Token
Sure Thing,Miguel
Victoria’s Secret,Jax
Goo Goo Muck,The Cramps
Pick Me Up,Gabby Barrett
Going Yeezy,"French Montana, DJ Drama & Cheeze"
